,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m�),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC)
20140902011000,15.6,79.1,0,0.37,1.19,329.1,2.5,0,1,13.1,13.1,13.1,2.1
20140902011500,15.4,79.3,0,0.43,1.19,329.1,2.5,0,1,13.1,13.1,13.1,2.1
20140902012000,15.3,79.9,0,0.36,1.49,7.9,16.7,0,1,13.1,13.1,13.1,2
20140902012500,15.3,80.1,0,0.71,1.63,302.1,14.1,0,1,13.1,13.1,13.1,2
20140902013000,15.2,80.3,0,0.32,1.04,342.6,21.6,0,1,13.1,13.1,13.1,2
20140902013500,15.1,80.9,0,0.16,0.74,351.4,2,0,1,13.1,13.1,13.1,1.9
20140902014000,15,81.7,0,0.13,0.59,351.4,2,0,1,13.1,13.1,13.1,1.8
20140902014500,14.9,82.1,0,0.04,0.29,351.4,2,0,1,13.1,13.1,13.1,1.8
20140902015000,14.8,82.7,0,0.14,0.74,351.4,2,0,1,13.1,13.1,13.1,1.7
20140902015500,14.7,82.9,0,0.36,1.19,332.2,10.8,0,1,13.1,13.1,13.1,1.7
20140902020000,14.6,83,0,0.17,0.89,326.7,1.7,0,1,13.1,13.1,13.1,1.7
20140902020500,14.5,83.4,0,0.25,0.89,326.5,2.5,0,1,13,13.1,13.1,1.6
20140902021000,14.4,83.7,0,0.36,1.63,322.4,8.2,0,1,13.1,13.1,13.1,1.6
20140902021500,14.4,83.4,0,0.23,0.89,302.4,0,0,1,13.1,13.1,13.1,1.6
20140902022000,14.4,83.4,0,0.2,1.49,300.8,1.3,0,1,13.1,13.1,13.1,1.6
20140902022500,14.3,83.7,0,0.11,0.59,300.6,0,0,1,13.1,13.1,13.1,1.6
20140902023000,14.3,84.2,0,0.15,1.19,299.1,0,0,1,13.1,13.1,13.1,1.5
20140902023500,14.2,84.8,0,0.08,0.59,297.7,0,0,1,13.1,13.1,13.1,1.5
20140902024000,14.2,85.4,0,0.04,0.29,297.7,0,0,1,13.1,13.1,13.1,1.4
20140902024500,14.1,85.9,0,0.09,0.44,297.7,0,0,1,13.1,13.1,13.1,1.4
20140902025000,14,86.7,0.14,0.72,1.79,312.4,17.6,0,1,13,13.1,13.1,1.3
