,Ave AirTemp (degC),Ave Humidity (%),Min WndSpd (m/s),Ave WndSpd (m/s),Max WndSpd (m/s),Ave WndDir (deg),Ave Sigma (deg),Total Rain (mm),Ave GSR (w/m�),Min Battery (V),Ave Battery (V),Max Battery (V),Ave DeltaT (degC)
20140925025000,19,61.7,0.29,1.09,2.98,170.4,60.3,0,278,13.9,13.9,13.9,4.5
20140925025500,19,61.8,0,1.17,4.32,172.6,67.2,0,246,13.9,13.9,13.9,4.5
20140925030000,18.9,62.2,0.14,1.06,4.77,141.6,62.1,0,189,13.9,13.9,13.9,4.4
20140925030500,18.9,61.9,0,1.09,2.98,163.2,64.1,0,188,13.6,13.9,13.9,4.4
20140925031000,18.9,60.5,0.14,1.48,4.32,208.2,79.5,0,196,13.9,13.9,13.9,4.6
20140925031500,18.8,59.8,0.14,1.33,4.17,217.2,65.2,0,217,13.9,13.9,13.9,4.7
20140925032000,18.9,59.4,0,1.02,3.13,239.3,90.2,0,220,13.9,13.9,13.9,4.8
20140925032500,18.9,59.6,0.14,1.34,3.43,215.9,65.3,0,269,13.9,13.9,13.9,4.7
20140925033000,19,59.8,0.14,1.15,3.13,228.2,80.4,0,239,13.9,13.9,13.9,4.7
20140925033500,19.1,59.9,0.14,1.34,3.58,196.8,65.9,0,258,13.9,13.9,13.9,4.7
20140925034000,19,60.4,0,1.1,3.58,212.3,44.9,0,232,13.9,13.9,13.9,4.6
20140925034500,19,60.6,0,1.02,2.98,232.1,34,0,190,13.9,13.9,13.9,4.6
20140925035000,19,60.6,0,0.97,4.17,242.3,66.2,0,162,13.9,13.9,13.9,4.6
20140925035500,19,60.5,0.14,0.8,2.24,214.2,52.9,0,165,13.9,13.9,13.9,4.6
20140925040000,19,60.3,0,0.93,4.17,219.2,34.3,0,136,13.9,13.9,13.9,4.6
20140925040500,19,60.2,0.14,1.11,3.87,219.4,50.7,0,100,13.5,13.8,13.9,4.7
20140925041000,18.9,60.4,0,0.89,2.08,214.6,72,0,81,13.9,13.9,13.9,4.6
20140925041500,18.9,60.3,0,0.82,2.83,221.9,56.4,0,81,13.9,13.9,13.9,4.6
20140925042000,18.9,59.7,0,1,3.73,182,56.1,0,79,13.9,13.9,13.9,4.7
20140925042500,18.9,59.8,0.14,1.2,3.28,176.9,56.7,0,72,13.9,13.9,13.9,4.7
20140925043000,18.9,59.8,0,0.83,3.43,181.9,41.7,0,71,13.9,13.9,13.9,4.7
20140925043500,19,59.6,0,0.48,2.38,191.6,16.6,0,77,13.9,13.9,13.9,4.7
20140925044000,19.1,59.5,0,0.39,1.34,171.5,48.1,0,79,13.9,13.9,13.9,4.8
20140925044500,19.1,59.1,0,0.79,2.53,170.1,91.1,0,75,13.9,13.9,13.9,4.8
20140925045000,19,59.4,0,1.03,2.83,197.2,54.1,0,84,13.9,13.9,13.9,4.8
20140925045500,19.1,59.3,0,0.8,2.24,217.8,45.3,0,87,13.9,13.9,13.9,4.8
20140925050000,19.1,59.2,0,0.73,3.13,207,33.9,0,76,13.9,13.9,13.9,4.8
20140925050500,19.1,59.4,0.14,0.75,1.93,191.9,91.3,0,70,13.4,13.7,13.9,4.8
20140925051000,19.1,59.4,0,0.92,3.43,229.8,46.6,0,63,13.8,13.9,13.9,4.8
20140925051500,19.1,59.3,0,0.62,2.53,248.2,60.4,0,57,13.8,13.9,13.9,4.8
20140925052000,19.1,59.2,0,0.51,2.38,149.1,56.7,0,59,13.9,13.9,13.9,4.8
20140925052500,19.1,59.1,0,0.85,2.68,192,56.3,0,60,13.7,13.8,13.9,4.8
20140925053000,19.1,59,0,0.78,2.38,199.5,33.8,0,55,13.5,13.6,13.7,4.8
20140925053500,19.2,58.9,0,0.43,1.63,177.4,25.5,0,46,13.5,13.5,13.5,4.9
20140925054000,19.1,58.9,0,0.49,1.93,136.2,39.1,0,42,13.4,13.5,13.5,4.8
20140925054500,19.1,58.9,0,0.7,1.93,229.6,52.5,0,45,13.4,13.4,13.5,4.8
20140925055000,19.1,59,0,0.35,1.63,163.3,12.5,0,45,13.4,13.4,13.4,4.8
20140925055500,19.1,58.7,0,0.64,2.08,158.6,29.9,0,38,13.4,13.4,13.4,4.9
20140925060000,19.1,58.8,0,0.57,1.79,182,29,0,34,13.4,13.4,13.4,4.9
20140925060500,19.1,59.2,0,0.47,1.79,211,20.8,0,23,13.3,13.3,13.4,4.8
20140925061000,19,59.3,0,0.39,1.93,211.5,66.1,0,16,13.3,13.3,13.3,4.8
20140925061500,19.1,59,0,0.78,3.13,170.5,27.9,0,14,13.3,13.3,13.3,4.8
20140925062000,19,59.1,0,0.59,2.53,172,16.7,0,15,13.3,13.3,13.3,4.8
20140925062500,19,59.1,0,0.79,3.43,187.9,27.7,0,11,13.3,13.3,13.3,4.8
20140925063000,19,59.1,0,0.48,2.08,213.3,19.5,0,8,13.2,13.3,13.3,4.8
20140925063500,19,59.1,0,0.61,1.93,195.2,69.8,0,6,13.2,13.3,13.3,4.8
20140925064000,19,59.5,0,0.33,1.34,177,1.9,0,5,13.2,13.3,13.3,4.8
20140925064500,18.9,59.6,0,0.53,2.24,214.9,41,0,4,13.2,13.2,13.3,4.7
20140925065000,18.9,59.9,0,0.58,1.79,176.9,37.1,0,2,13.2,13.2,13.2,4.7
20140925065500,18.9,60,0,0.69,3.28,148,29.1,0,2,13.2,13.2,13.2,4.7
20140925070000,18.9,60.2,0,0.42,2.38,140,28.7,0,1,13.2,13.2,13.2,4.6
20140925070500,18.9,60.4,0,0.62,1.93,180.5,18.8,0,1,13.1,13.2,13.2,4.6
20140925071000,18.9,60.6,0,0.39,2.24,177.6,9.2,0,1,13.2,13.2,13.2,4.6
20140925071500,18.8,60.9,0,0.43,1.63,169.1,22.6,0,1,13.2,13.2,13.2,4.5
20140925072000,18.8,60.7,0,0.58,2.68,170.8,32.5,0,1,13.2,13.2,13.2,4.6
20140925072500,18.8,60.9,0,0.5,2.08,202,14.4,0,1,13.2,13.2,13.2,4.5
20140925073000,18.7,61.1,0,0.31,1.49,199.1,3.3,0,1,13.2,13.2,13.2,4.5
20140925073500,18.7,61.2,0,0.55,1.93,207.3,24.8,0,1,13.2,13.2,13.2,4.5
20140925074000,18.7,60.5,0,0.47,1.63,188,12,0,1,13.2,13.2,13.2,4.6
20140925074500,18.7,59.6,0,0.85,3.13,188,23.2,0,1,13.2,13.2,13.2,4.7
20140925075000,18.7,59.2,0,0.75,2.68,181.3,20.8,0,1,13.2,13.2,13.2,4.7
20140925075500,18.7,58.7,0,0.89,2.68,183,31.8,0,1,13.2,13.2,13.2,4.8
20140925080000,18.7,58.1,0,0.84,2.68,171.7,29.9,0,1,13.2,13.2,13.2,4.9
20140925080500,18.7,58,0,0.83,2.68,191,40.9,0,1,13.1,13.2,13.2,4.9
20140925081000,18.7,58,0,0.33,2.08,193.5,15.5,0,1,13.2,13.2,13.2,4.9
20140925081500,18.6,58,0,0.53,1.49,182.9,35.2,0,1,13.2,13.2,13.2,4.9
20140925082000,18.6,59.4,0,0.99,2.83,167.6,26.5,0,1,13.2,13.2,13.2,4.7
20140925082500,18.2,62.7,0.14,1.29,3.73,171,27.6,0,1,13.2,13.2,13.2,4.2
20140925083000,18,64.9,0,0.62,2.24,201.6,12.5,0,1,13.2,13.2,13.2,4
20140925083500,17.9,66.5,0.14,1,2.83,167.5,21.7,0,1,13.2,13.2,13.2,3.8
20140925084000,17.7,67.7,0,0.99,4.32,160.4,39.9,0,1,13.2,13.2,13.2,3.6
20140925084500,17.7,68.1,0.14,1.04,4.17,155.1,38.4,0,1,13.2,13.2,13.2,3.5
20140925085000,17.6,68.6,0,0.88,2.83,191.7,50.3,0,1,13.2,13.2,13.2,3.5
20140925085500,17.6,68.7,0,0.71,2.53,172.3,34.2,0,1,13.2,13.2,13.2,3.5
20140925090000,17.5,68.9,0.14,1.14,4.62,199,62.9,0,1,13.2,13.2,13.2,3.4
20140925090500,17.5,69,0,1.03,3.73,189.1,55.6,0,1,13.1,13.2,13.2,3.4
20140925091000,17.5,69,0,0.54,2.68,181.2,16.5,0,1,13.2,13.2,13.2,3.4
20140925091500,17.5,68.9,0,1.17,3.58,166,40.4,0,1,13.2,13.2,13.2,3.4
20140925092000,17.5,69,0,0.78,2.68,154.3,22.2,0,1,13.2,13.2,13.2,3.4
20140925092500,17.5,69.3,0,0.99,2.83,171.3,35.3,0,1,13.2,13.2,13.2,3.4
20140925093000,17.5,69.6,0,0.9,2.98,176.4,13.5,0,1,13.2,13.2,13.2,3.3
20140925093500,17.3,70.2,0,0.92,3.28,189.5,51.7,0,1,13.2,13.2,13.2,3.3
20140925094000,17.3,70.7,0,0.74,2.38,185.7,66.3,0,1,13.2,13.2,13.2,3.2
20140925094500,17.2,70.7,0,0.94,2.68,180.3,75.3,0,1,13.2,13.2,13.2,3.2
20140925095000,17.2,70.6,0.14,1.15,3.28,197.7,49,0,1,13.2,13.2,13.2,3.2
20140925095500,17.2,70.6,0,0.81,2.08,199.9,81,0,1,13.2,13.2,13.2,3.2
20140925100000,17.2,70.5,0,0.72,1.93,179.2,12.4,0,1,13.2,13.2,13.2,3.2
20140925100500,17.2,70.4,0,0.9,4.32,175.5,21.7,0,1,13.1,13.2,13.2,3.2
20140925101000,17.1,70.6,0.14,0.84,3.13,185.4,37.1,0,1,13.2,13.2,13.2,3.2
20140925101500,17,71,0,1.18,3.43,169.8,38.6,0,1,13.2,13.2,13.2,3.1
20140925102000,17,71,0.14,0.91,2.83,197,51.7,0,1,13.2,13.2,13.2,3.1
20140925102500,16.9,70.8,0,0.93,3.43,162.6,51,0,1,13.2,13.2,13.2,3.1
20140925103000,16.9,70.6,0.14,1.03,3.13,171.1,15.8,0,1,13.2,13.2,13.2,3.2
20140925103500,16.9,70.6,0,0.66,2.08,166.2,20.3,0,1,13.2,13.2,13.2,3.2
20140925104000,16.8,70.6,0,0.62,3.43,187.2,63.5,0,1,13.2,13.2,13.2,3.2
20140925104500,16.8,70.6,0,0.84,2.53,231.5,51.8,0,1,13.2,13.2,13.2,3.2
20140925105000,16.7,70.7,0,0.86,2.98,189,35.5,0,1,13.2,13.2,13.2,3.1
20140925105500,16.7,70.7,0,0.62,2.53,188.7,9.7,0,1,13.2,13.2,13.2,3.1
20140925110000,16.6,71,0,0.61,2.24,168.2,19.1,0,1,13.1,13.2,13.2,3.1
20140925110500,16.6,71.1,0.14,0.58,2.24,117.9,82.8,0,1,13.1,13.1,13.2,3.1
20140925111000,16.6,71.3,0,0.59,2.24,185,25.7,0,1,13.1,13.2,13.2,3.1
20140925111500,16.6,71.6,0,0.33,1.79,151.1,41.2,0,1,13.2,13.2,13.2,3
20140925112000,16.6,71.7,0,0.48,1.63,212.9,21.5,0,1,13.2,13.2,13.2,3
20140925112500,16.5,71.8,0,0.69,2.53,158.1,32.3,0,1,13.1,13.2,13.2,3
20140925113000,16.5,72.2,0,0.54,1.49,189.8,6.9,0,1,13.1,13.2,13.2,3
20140925113500,16.5,72.3,0,0.45,1.49,175.5,59.3,0,1,13.2,13.2,13.2,2.9
20140925114000,16.5,72.4,0,0.93,3.28,182,43.5,0,1,13.2,13.2,13.2,2.9
20140925114500,16.4,72.8,0,0.88,2.24,159.5,21.5,0,1,13.2,13.2,13.2,2.9
20140925115000,16.3,73.2,0,0.82,3.28,162.4,33.5,0,1,13.1,13.1,13.2,2.8
20140925115500,16.3,73.6,0,0.66,2.53,213.5,32.1,0,1,13.1,13.2,13.2,2.8
20140926000000,16.3,73.8,0,0.97,2.83,155.9,30.7,0,1,13.1,13.2,13.2,2.8
20140926000500,16.2,74.3,0,0.68,2.68,172.9,29.2,0,1,13.1,13.1,13.2,2.7
20140926001000,16.2,74.7,0,1.06,4.48,202.9,63.1,0,1,13.1,13.1,13.2,2.7
20140926001500,16.2,75.1,0,0.83,3.43,161.3,63.3,0,1,13.1,13.1,13.2,2.6
20140926002000,16.2,75.3,0,0.66,1.93,193.2,26.4,0,1,13.1,13.1,13.2,2.6
20140926002500,16.2,75.5,0,0.76,3.43,180,59.4,0,1,13.1,13.1,13.1,2.6
20140926003000,16.2,75.7,0,0.76,1.93,167.6,43.2,0,1,13.1,13.1,13.1,2.5
20140926003500,16.2,75.8,0.14,0.79,3.13,146.5,84.6,0,1,13.1,13.1,13.1,2.5
20140926004000,16.1,76.2,0,0.55,2.24,224.5,68.8,0,1,13.1,13.1,13.1,2.5
20140926004500,16.1,76.7,0,0.71,2.53,228,49.2,0,1,13.1,13.1,13.1,2.4
20140926005000,16.1,77,0,0.85,2.83,198.3,57.3,0,1,13.1,13.1,13.1,2.4
20140926005500,16.1,77.1,0,0.68,2.24,209.7,29.6,0,1,13.1,13.1,13.1,2.4
20140926010000,16.2,77.2,0,0.53,1.79,142.5,38.3,0,1,13.1,13.1,13.1,2.4
20140926010500,16.1,77.6,0,0.88,2.68,143,61.7,0,1,13,13.1,13.1,2.3
20140926011000,16.1,77.9,0,0.66,2.08,179.9,25.1,0,1,13.1,13.1,13.1,2.3
20140926011500,16.1,78,0,0.52,1.79,195.3,40.1,0,1,13.1,13.1,13.1,2.3
20140926012000,16.1,78.2,0,0.61,2.83,172.9,25.2,0,1,13.1,13.1,13.1,2.3
20140926012500,16.1,78.5,0,0.78,2.08,174.8,52.5,0,1,13.1,13.1,13.1,2.2
20140926013000,16.1,78.8,0,0.64,2.38,220.9,57.4,0,1,13.1,13.1,13.1,2.2
20140926013500,16.1,79,0,0.46,2.53,230,28.7,0,1,13.1,13.1,13.1,2.2
20140926014000,16.1,79.1,0,0.96,2.83,188.6,52.2,0,1,13.1,13.1,13.1,2.2
20140926014500,16.1,79.3,0,0.57,3.13,186.4,57.7,0,1,13.1,13.1,13.1,2.1
20140926015000,16.1,79.7,0,0.94,2.98,164.1,56.7,0,1,13.1,13.1,13.1,2.1
20140926015500,16.1,79.9,0,0.95,2.68,160,30.6,0,1,13.1,13.1,13.1,2.1
20140926020000,16.1,80.1,0,0.76,2.53,222.1,66,0,1,13.1,13.1,13.1,2.1
20140926020500,16.1,80.1,0,0.57,3.13,231,52.5,0,1,13,13.1,13.1,2.1
20140926021000,16.1,80.3,0,0.8,2.24,227.5,51.7,0,1,13.1,13.1,13.1,2
20140926021500,16,80.5,0,0.61,2.24,158.2,39.6,0,1,13.1,13.1,13.1,2
20140926022000,16.1,80.5,0,0.45,1.63,222.1,34.8,0,1,13.1,13.1,13.1,2
20140926022500,16.1,80.6,0,0.55,1.79,175.5,35.5,0,1,13.1,13.1,13.1,2
20140926023000,16.1,80.6,0,0.71,3.13,166.9,24.2,0,1,13.1,13.1,13.1,2
20140926023500,16.1,80.7,0,0.42,1.79,176.9,44.6,0,1,13.1,13.1,13.1,2
20140926024000,16.1,80.8,0,0.58,2.08,176,12.4,0,1,13.1,13.1,13.1,2
20140926024500,16.1,80.9,0,0.68,2.08,180.5,26.7,0,1,13.1,13.1,13.1,2
20140926025000,16.1,81.1,0,0.52,2.24,162.5,17.9,0,1,13.1,13.1,13.1,2
20140926025500,16.1,81.2,0,0.38,1.93,232.1,22.3,0,1,13.1,13.1,13.1,1.9
20140926030000,16.1,81.3,0,0.5,2.08,168.9,19.9,0,1,13.1,13.1,13.1,1.9
20140926030500,16.1,81.4,0,0.6,1.93,178.1,19.4,0,1,13,13.1,13.1,1.9
20140926031000,16.1,81.5,0,0.71,2.68,166.8,22.6,0,1,13.1,13.1,13.1,1.9
20140926031500,16.1,81.5,0,0.59,2.24,167.8,35.4,0,1,13.1,13.1,13.1,1.9
20140926032000,16.1,81.7,0,0.85,2.53,173.8,57,0,1,13.1,13.1,13.1,1.9
20140926032500,16.1,81.7,0,0.77,2.53,186.9,22.3,0,1,13.1,13.1,13.1,1.9
20140926033000,16.1,81.7,0,0.69,2.53,173.3,35.3,0,1,13.1,13.1,13.1,1.9
20140926033500,16.1,81.8,0,0.72,2.83,190.1,20.1,0,1,13.1,13.1,13.1,1.9
20140926034000,16.1,81.8,0,0.67,2.38,187.4,35.6,0,1,13.1,13.1,13.1,1.9
20140926034500,16.1,81.9,0,0.49,1.63,213.7,14.4,0,1,13.1,13.1,13.1,1.9
20140926035000,16.1,81.9,0,0.75,2.98,150.2,17.2,0,1,13.1,13.1,13.1,1.9
20140926035500,16.1,81.8,0,0.54,1.63,157.4,47.7,0,1,13.1,13.1,13.1,1.9
20140926040000,16.1,81.9,0,0.4,1.34,199.2,15.5,0,1,13.1,13.1,13.1,1.9
20140926040500,16.1,81.9,0,0.33,2.83,202,14.9,0,1,13,13.1,13.1,1.9
20140926041000,16.1,81.9,0,0.5,1.79,171.5,18.3,0,1,13.1,13.1,13.1,1.9
20140926041500,16.1,81.8,0,0.62,2.38,201,60.6,0,1,13.1,13.1,13.1,1.9
20140926042000,16.1,82,0,0.59,2.38,191.1,9.9,0,1,13.1,13.1,13.1,1.9
20140926042500,16.1,82.1,0,0.45,1.79,256.8,58.8,0,1,13.1,13.1,13.1,1.8
20140926043000,16.1,82.2,0,0.64,2.38,192.5,59.2,0,1,13.1,13.1,13.1,1.8
20140926043500,16.1,82.3,0,0.41,2.24,212.6,62.4,0,1,13.1,13.1,13.1,1.8
20140926044000,16.1,82.4,0,0.51,1.93,199.3,65.6,0,1,13.1,13.1,13.1,1.8
20140926044500,16.1,82.5,0,0.83,2.24,192.8,44.9,0,1,13.1,13.1,13.1,1.8
20140926045000,16.1,82.5,0,0.44,2.68,190.8,10.2,0,1,13.1,13.1,13.1,1.8
20140926045500,16,82.6,0,0.38,1.49,212.4,44.7,0,1,13,13,13.1,1.8
20140926050000,16,82.7,0,0.48,1.93,219,31.8,0,1,13,13,13.1,1.8
20140926050500,16.1,82.5,0,0.51,2.53,182.3,35.5,0,1,12.9,13,13.1,1.8
20140926051000,16.1,82.5,0,0.72,2.24,141.6,61.5,0,1,13,13,13.1,1.8
20140926051500,16.1,82.6,0,0.79,2.24,161.2,20.4,0,1,13,13,13.1,1.8
20140926052000,16,82.7,0,0.54,2.24,141.1,39.1,0,1,13,13,13,1.8
20140926052500,16,83,0,0.54,2.08,108.7,60.6,0,1,13,13,13,1.7
20140926053000,16,83.2,0,0.78,2.53,177.9,11.8,0,1,13,13,13,1.7
20140926053500,15.9,83.7,0,0.66,2.08,169.2,17.5,0,1,13,13,13,1.7
20140926054000,15.8,84,0,0.96,2.83,152.1,35.3,0,1,13,13,13,1.6
20140926054500,15.8,84.2,0,1.06,4.32,160.9,25.5,0,1,13,13,13,1.6
20140926055000,15.8,84.3,0,0.49,1.79,187.4,10,0,1,13,13,13,1.6
20140926055500,15.8,84.5,0,0.82,2.83,221.4,65.2,0,1,13,13,13,1.6
20140926060000,15.8,84.7,0,0.95,2.98,179.3,31,0,1,13,13,13,1.6
20140926060500,15.8,84.8,0,0.79,2.68,158.2,27.9,0,1,12.9,13,13,1.5
20140926061000,15.7,84.9,0,0.77,2.53,160.6,35.8,0,1,13,13,13,1.5
20140926061500,15.7,85,0,0.55,2.24,193.9,37,0,1,13,13,13,1.5
20140926062000,15.7,85.1,0,0.37,1.49,179,38.7,0,1,13,13,13,1.5
20140926062500,15.7,85.1,0,0.75,2.53,177,26.8,0,1,13,13,13,1.5
20140926063000,15.7,85.1,0,0.64,1.79,181.4,8.7,0,1,13,13,13,1.5
20140926063500,15.7,85.1,0,0.41,1.49,189.5,12.6,0,1,13,13,13,1.5
20140926064000,15.7,85.1,0,0.23,1.04,159.2,12.7,0,1,13,13,13,1.5
20140926064500,15.7,85.1,0,0.41,1.49,166,8.1,0,1,13,13,13,1.5
20140926065000,15.7,85,0,0.46,1.63,168.7,16.4,0,1,13,13,13,1.5
20140926065500,15.7,85.1,0,0.74,2.24,166.4,25.9,0,2,13,13,13,1.5
20140926070000,15.8,84.9,0,0.5,1.79,146.1,31.9,0,2,12.9,13,13,1.5
20140926070500,15.8,84.9,0,0.63,2.83,170.7,31.5,0,2,12.8,12.9,13,1.5
20140926071000,15.8,84.9,0,0.76,3.13,187.4,33.6,0,4,12.9,13,13,1.5
20140926071500,15.8,85,0,0.56,3.58,203.4,82.2,0,4,12.9,13,13,1.5
20140926072000,15.8,85,0,0.85,2.68,173.5,27.5,0,7,12.9,13,13,1.5
20140926072500,15.9,85.1,0,0.66,2.98,233,75.3,0,8,12.9,13,13,1.5
20140926073000,15.9,85.1,0,0.57,2.24,169.5,12.3,0,10,12.9,13,13,1.5
20140926073500,15.9,85,0,0.59,2.68,172.7,16.6,0,11,12.9,13,13,1.5
20140926074000,16,84.9,0,0.82,3.73,196.4,49.8,0,11,12.9,13,13,1.5
20140926074500,16,84.8,0,0.4,1.49,173,13.7,0,13,12.9,13,13,1.6
20140926075000,16,84.8,0,0.58,1.79,206.7,35.4,0,15,12.9,13,13,1.6
20140926075500,16,84.9,0,0.47,1.93,159.6,23.6,0,18,12.9,13,13,1.5
20140926080000,16.1,84.8,0,0.55,2.24,168.4,31.2,0,27,13,13,13,1.6
20140926080500,16.1,84.7,0,0.53,1.63,166.1,18.8,0,34,12.8,13,13,1.6
20140926081000,16.1,84.8,0,0.3,1.34,226.9,28.7,0,40,13,13,13,1.6
20140926081500,16.2,84.7,0,0.52,3.28,218,29.7,0,42,13,13,13.1,1.6
20140926082000,16.2,84.6,0,0.44,1.79,190.1,53.8,0,102,13.1,13.2,13.3,1.6
20140926082500,16.4,84.1,0,0.69,2.24,155.9,37.8,0,107,13.3,13.3,13.4,1.6
20140926083000,16.5,83.6,0,0.75,1.93,187.1,21.6,0,78,13.4,13.4,13.5,1.7
20140926083500,16.5,83.4,0,0.68,2.38,158.3,32,0,46,13.3,13.3,13.4,1.7
20140926084000,16.4,83.6,0,0.95,3.43,172.5,31.5,0,54,13.3,13.3,13.3,1.7
20140926084500,16.5,83.9,0,0.5,2.08,172.4,23,0,51,13.3,13.3,13.3,1.7
20140926085000,16.5,83.8,0,0.67,2.08,154.8,26.3,0,31,13.2,13.2,13.3,1.7
20140926085500,16.6,83.8,0,0.98,2.24,169.4,27,0,47,13.2,13.2,13.2,1.7
20140926090000,16.6,83.7,0,0.67,2.38,179.8,47.8,0,71,13.2,13.2,13.2,1.7
20140926090500,16.7,83.5,0,0.51,1.49,168.1,3.7,0,70,13.1,13.2,13.3,1.7
20140926091000,16.8,83.2,0,0.62,2.08,162.1,29.9,0,72,13.2,13.2,13.3,1.8
20140926091500,16.8,83,0,0.72,2.83,192.1,29.8,0,81,13.3,13.3,13.3,1.8
20140926092000,16.9,83,0,0.71,1.93,180,26.2,0,63,13.3,13.3,13.3,1.8
20140926092500,16.9,83,0,0.79,2.68,173.8,57,0,77,13.3,13.3,13.4,1.8
20140926093000,16.9,83.1,0,0.56,1.93,230,40.7,0,81,13.3,13.4,13.4,1.8
20140926093500,17,82.9,0,0.62,2.24,189.6,37.1,0,86,13.4,13.4,13.5,1.8
20140926094000,17.1,82.5,0,0.57,1.79,193.5,36.7,0,95,13.5,13.5,13.5,1.9
20140926094500,17.2,82.3,0,0.29,1.19,277.8,32.8,0,84,13.5,13.5,13.5,1.9
20140926095000,17.2,82.1,0,0.34,2.24,226.5,25.8,0,85,13.5,13.5,13.5,1.9
20140926095500,17.3,81.9,0,0.78,2.24,194.8,32.1,0,65,13.4,13.5,13.5,1.9
20140926100000,17.3,81.9,0,0.54,1.49,238.1,27.4,0,73,13.4,13.5,13.5,1.9
20140926100500,17.4,81.6,0,0.35,2.38,196.3,21.8,0,90,13.3,13.5,13.5,2
20140926101000,17.5,81.3,0,0.67,2.53,238.6,18.5,0,79,13.5,13.5,13.5,2
20140926101500,17.5,80.7,0,0.61,1.93,188.1,30.7,0,95,13.5,13.5,13.5,2.1
20140926102000,17.6,80.4,0,0.72,2.24,196.1,37.2,0,123,13.5,13.6,13.6,2.1
20140926102500,17.6,80.2,0,0.91,2.98,193.7,43.6,0,101,13.6,13.6,13.6,2.1
20140926103000,17.6,80.4,0,0.89,2.98,218.6,53.3,0,109,13.6,13.6,13.6,2.1
20140926103500,17.7,80.3,0,0.75,3.87,251.5,51.3,0,81,13.6,13.6,13.6,2.1
20140926104000,17.7,80.3,0,0.88,2.53,202.9,59.6,0,82,13.5,13.6,13.6,2.1
20140926104500,17.7,80.2,0,0.9,2.83,258.6,73.7,0,94,13.5,13.6,13.6,2.1
20140926105000,17.7,80,0,1.13,3.43,243.2,45.7,0,93,13.5,13.6,13.6,2.2
20140926105500,17.6,80,0,1.28,4.03,274.7,27.4,0,101,13.6,13.6,13.6,2.2
20140926110000,17.7,79.9,0,0.89,2.83,244.7,37.8,0,212,13.6,13.8,14,2.2
20140926110500,18.2,78.5,0,0.62,3.28,227,43.2,0,289,13.8,13.9,14,2.4
20140926111000,18.5,76.7,0,0.78,2.38,110.3,68.7,0,130,13.7,13.7,13.8,2.6
20140926111500,18.5,76.6,0,1,4.17,185.6,64,0,146,13.7,13.7,13.7,2.6
20140926112000,18.5,76.7,0,0.92,3.28,232.9,56.3,0,291,13.7,13.8,13.9,2.6
20140926112500,18.8,75.4,0,0.88,2.24,194.9,38.2,0,475,13.9,13.9,13.9,2.8
20140926113000,19.1,73.8,0.14,1.16,2.98,189.4,46.5,0,277,13.9,13.9,13.9,3
20140926113500,18.9,74.4,0,1.18,3.28,197,41.6,0,250,13.8,13.8,13.9,2.9
20140926114000,19,74.3,0,0.7,2.83,224.8,34.6,0,161,13.7,13.8,13.8,2.9
20140926114500,19.1,73.9,0,0.59,2.98,211.8,41.2,0,130,13.7,13.7,13.8,3
20140926115000,19.1,73.8,0,0.63,1.63,212,47.2,0,289,13.7,13.9,13.9,3
20140926115500,19.5,72.3,0,0.62,2.83,78.8,91.9,0,383,13.8,13.9,13.9,3.2
20140926000000,19.7,71.1,0,0.95,3.13,209.7,61.1,0,149,13.7,13.8,13.8,3.4
20140926000500,19.3,72,0,0.59,1.79,244.3,24.8,0,75,13.6,13.7,13.7,3.2
20140926001000,19.3,72.5,0,0.66,2.08,243,25.2,0,179,13.8,13.8,13.9,3.2
20140926001500,19.3,72.4,0.14,1.06,3.73,206.2,64.7,0,112,13.7,13.8,13.8,3.2
20140926002000,19.2,72.7,0,0.67,2.68,241.4,34.5,0,74,13.6,13.7,13.7,3.1
20140926002500,19.3,72.7,0,0.55,2.24,272.9,36.9,0,56,13.6,13.6,13.6,3.1
20140926003000,19.3,72.5,0,1.03,4.77,171.1,44.4,0,129,13.6,13.7,13.8,3.2
20140926003500,19.4,71.7,0,0.83,3.73,211.3,84.2,0,296,13.8,13.9,13.9,3.3
20140926004000,19.8,70.4,0,0.94,2.68,221.8,47.6,0,538,13.9,13.9,13.9,3.5
20140926004500,20.1,68.9,0.14,0.86,1.93,195.1,60.5,0,509,13.8,13.8,13.9,3.7
20140926005000,20,67.9,0.14,1.22,4.17,199.8,53,0,275,13.8,13.8,13.8,3.8
20140926005500,19.8,68.4,0,0.67,2.38,158,96.4,0,125,13.8,13.8,13.8,3.7
20140926010000,19.9,68.6,0,1.04,3.87,135.8,89.3,0,157,13.8,13.8,13.8,3.7
20140926010500,19.7,68.3,0,1.41,4.03,276.3,60,0,166,13.6,13.8,13.8,3.7
20140926011000,19.8,68,0.14,1.35,3.87,274,60.3,0,363,13.8,13.9,13.9,3.8
20140926011500,20,67.4,0,1.27,4.03,265.7,76.9,0,652,13.8,13.8,13.9,3.9
20140926012000,20.1,66.9,0.29,1.48,2.68,289.5,28.8,0,289,13.8,13.8,13.8,3.9
20140926012500,20.2,67.4,0,0.87,3.87,275.1,54.3,0,400,13.8,13.8,13.8,3.9
20140926013000,20,68.2,0,0.79,2.38,239.9,31.4,0,328,13.8,13.8,13.8,3.8
20140926013500,20.3,67.3,0,0.86,4.17,254.7,62.5,0,250,13.8,13.8,13.8,3.9
20140926014000,20.1,67.5,0,0.67,3.13,238.8,60.9,0,263,13.8,13.8,13.8,3.9
