UTC+8 20161223_09:43:54	1482457434206	 : upload.php/ 	 : File 14824574341. WeatherData_20140901-20140930_Example for database (副本).CSV Upload to ./Uploads/1612/
UTC+8 20161223_09:44:49	1482457489150	 : upload.php/ 	 : File 14824574892. MeasureData_20140901-20140930_Part 1 (副本).csv Upload to ./Uploads/1612/
UTC+8 20161223_09:50:06	1482457806394	 : upload.php/ 	 : File 14824578062. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_09:50:53	1482457853793	 : upload.php/ 	 : File 14824578532. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_09:51:37	1482457897009	 : upload.php/ 	 : File 14824578972. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_09:54:08	1482458048650	 : upload.php/ 	 : File 14824580482. MeasureData_20140901-20140930_Part 2 (副本).csv Upload to ./Uploads/1612/
UTC+8 20161223_09:59:10	1482458350101	 : upload.php/ 	 : File 14824583502. MeasureData_20140901-20140930_Part 1 (副本).csv Upload to ./Uploads/1612/
UTC+8 20161223_10:02:07	1482458527908	 : upload.php/ 	 : File 14824585272. MeasureData_20140901-20140930_Part 1 (副本).csv Upload to ./Uploads/1612/
UTC+8 20161223_10:43:40	1482461020918	 : upload.php/ 	 : File 14824610202. MeasureData_20140901-20140930_Part 1 (副本).csv Upload to ./Uploads/1612/
UTC+8 20161223_10:47:08	1482461228050	 : upload.php/ 	 : File 14824612282. MeasureData_20140901-20140930_Part 1 (副本).csv Upload to ./Uploads/1612/
UTC+8 20161223_10:47:40	1482461260678	 : upload.php/ 	 : File 14824612602. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_10:50:52	1482461452715	 : upload.php/ 	 : File 14824614522. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_10:51:31	1482461491856	 : upload.php/ 	 : File 14824614912. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_10:52:45	1482461565314	 : upload.php/ 	 : File 14824615652. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_10:56:40	1482461800981	 : upload.php/ 	 : File 14824618002. MeasureData_20140901-20140930_Part 1 (副本).csv Upload to ./Uploads/1612/
UTC+8 20161223_10:57:52	1482461872813	 : upload.php/ 	 : File 14824618722. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_11:04:31	1482462271548	 : upload.php/ 	 : File 14824622712. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_11:05:57	1482462357951	 : upload.php/ 	 : File 14824623572. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_11:10:02	1482462602482	 : upload.php/ 	 : File 14824626022. MeasureData_20140901-20140930_Part 1.csv Upload to ./Uploads/1612/
UTC+8 20161223_11:12:02	1482462722111	 : upload.php/ 	 : File 14824627222. MeasureData_20140901-20140930_Part 1 (副本).csv Upload to ./Uploads/1612/
UTC+8 20161223_11:44:40	1482464680567	 : upload.php/ 	 : File 14824646801. WeatherData_20140901-20140930_Example for database (副本).CSV Upload to ./Uploads/1612/
UTC+8 20161223_11:44:53	1482464693563	 : upload.php/ 	 : File 14824646931. WeatherData_20140901-20140930_Example for database (副本).CSV Upload to ./Uploads/1612/
UTC+8 20161223_11:46:01	1482464761813	 : upload.php/ 	 : File 14824647611. WeatherData_20140901-20140930_Example for database (副本).CSV Upload to ./Uploads/1612/
UTC+8 20161223_11:48:37	1482464917272	 : upload.php/ 	 : File 14824649171. WeatherData_20140901-20140930_Example for database.CSV Upload to ./Uploads/1612/
